1990 08	23	7.8972	8.1291	8.3157	8.4653	8.5911	8.7933	9.0056	9.1896	8.8926
1990 08	24	7.9022	8.1607	8.3589	8.5138	8.6424	8.8472	9.0604	9.2425	8.9434
1990 08	27	7.8947	8.1074	8.2693	8.4016	8.5152	8.7015	8.9019	9.0938	8.834
1990 08	28	7.9029	8.1395	8.3083	8.443	8.5574	8.7434	8.9417	9.1263	8.862
1990 08	29	7.8837	8.0974	8.2506	8.3732	8.4776	8.648	8.8311	9.0097	8.7737
1990 08	30	7.8465	8.0452	8.2135	8.3547	8.4764	8.675	8.8836	9.0447	8.7153
1990 08	31	7.8078	8.0148	8.1896	8.3363	8.463	8.6699	8.8887	9.068	8.7433
1990 09	04	7.8022	8.0113	8.1929	8.3497	8.4867	8.7117	8.9479	9.1193	8.7392
1990 09	05	7.7722	7.9655	8.1425	8.2982	8.435	8.66	8.8966	9.071	8.6951
1990 09	06	7.7632	7.9673	8.1454	8.3003	8.4361	8.6591	8.8911	9.0406	8.6367
1990 09	07	7.7542	7.9536	8.1246	8.2752	8.4083	8.6281	8.8582	9.0099	8.6123
1990 09	10	7.8015	7.9991	8.1686	8.3168	8.4474	8.6633	8.8908	9.0539	8.6798
1990 09	11	7.8098	7.9942	8.1562	8.3006	8.4292	8.6435	8.8712	9.0418	8.6769
1990 09	12	7.7655	7.9497	8.1235	8.2772	8.4119	8.6332	8.8657	9.042	8.6806
1990 09	13	7.726	7.9128	8.0956	8.2583	8.4005	8.6321	8.8728	9.0482	8.6716
1990 09	14	7.737	7.9424	8.1309	8.294	8.4358	8.6677	8.9119	9.1083	8.7531
1990 09	17	7.75	7.9427	8.1306	8.301	8.4522	8.7013	8.9631	9.1689	8.7893
1990 09	18	7.7642	7.9391	8.1228	8.2932	8.445	8.6943	8.9539	9.1567	8.7843
1990 09	19	7.7922	7.9744	8.1501	8.3108	8.4544	8.6915	8.9379	9.101	8.6915
1990 09	20	7.8064	7.9974	8.1737	8.3338	8.4773	8.7165	8.9678	9.1383	8.7243
1990 09	21	7.7936	8.0122	8.2069	8.3797	8.5323	8.7832	9.0435	9.2203	8.8069
1990 09	24	7.8545	8.0806	8.2741	8.4415	8.5874	8.826	9.0763	9.2671	8.8796
1990 09	25	7.8679	8.0899	8.2733	8.4336	8.5761	8.8144	9.0675	9.2396	8.813
1990 09	26	7.8671	8.0807	8.267	8.4293	8.5705	8.7988	9.0325	9.2114	8.8866
1990 09	27	7.7882	7.9888	8.169	8.33	8.4732	8.7104	8.9591	9.1261	8.7116
1990 09	28	7.7136	7.9191	8.1007	8.2608	8.4012	8.6301	8.8648	9.0199	8.6471
1990 10	01	7.6553	7.8585	8.0348	8.1878	8.3205	8.5339	8.7503	8.8984	8.561
1990 10	02	7.6334	7.8304	8.0041	8.157	8.2911	8.5099	8.7359	8.9024	8.5702
1990 10	03	7.6162	7.8116	7.9873	8.1443	8.2841	8.516	8.76	8.9315	8.5372
1990 10	04	7.609	7.7935	7.9601	8.1097	8.2435	8.4673	8.7069	8.9006	8.5447
1990 10	05	7.5673	7.7548	7.924	8.0759	8.2116	8.4385	8.6808	8.8741	8.5119
1990 10	09	7.6721	7.8742	8.0563	8.2199	8.3659	8.61	8.8706	9.0817	8.7032
1990 10	10	7.6993	7.9102	8.1	8.2698	8.421	8.6724	8.938	9.1334	8.7208
1990 10	11	7.6708	7.9017	8.1083	8.2923	8.4552	8.7237	9.0025	9.1852	8.7394
1990 10	12	7.6369	7.8564	8.0529	8.228	8.3832	8.6391	8.9052	9.0786	8.6456
1990 10	15	7.6383	7.8466	8.0336	8.2008	8.3495	8.5963	8.8563	9.0474	8.6516
1990 10	16	7.6401	7.8428	8.0254	8.1891	8.3351	8.5786	8.8373	9.0378	8.6484
1990 10	17	7.6451	7.8395	8.0146	8.1717	8.3119	8.5458	8.7946	8.9865	8.6068
1990 10	18	7.631	7.8137	7.9789	8.1277	8.2611	8.4854	8.7279	8.9417	8.6092
1990 10	19	7.5933	7.7653	7.921	8.0614	8.1875	8.4	8.6309	8.8406	8.5292
1990 10	22	7.5981	7.7677	7.9216	8.0606	8.1855	8.3966	8.6271	8.845	8.5468
1990 10	23	7.5853	7.759	7.9167	8.0593	8.1877	8.4052	8.6442	8.8816	8.5937
1990 10	24	7.5795	7.7563	7.9167	8.0617	8.1922	8.413	8.6551	8.8931	8.5987
1990 10	25	7.5406	7.7141	7.8717	8.0143	8.1429	8.3609	8.6012	8.8461	8.5669
1990 10	26	7.5189	7.7057	7.8746	8.0268	8.1633	8.3927	8.6411	8.8644	8.5336
1990 10	29	7.5182	7.7199	7.902	8.0657	8.2121	8.4573	8.7208	8.9471	8.5866
1990 10	30	7.5306	7.7314	7.9125	8.0752	8.2207	8.4641	8.725	8.944	8.5784
1990 10	31	7.4891	7.6884	7.8683	8.0299	8.1744	8.4163	8.6758	8.8951	8.5337
1990 11	01	7.4046	7.6028	7.7819	7.9431	8.0873	8.3294	8.5906	8.822	8.476
1990 11	02	7.4009	7.6017	7.7828	7.9455	8.0909	8.334	8.5945	8.8125	8.4484
1990 11	05	7.3709	7.564	7.7383	7.8949	8.035	8.2696	8.5213	8.7339	8.3817
1990 11	06	7.3761	7.5706	7.7461	7.9038	8.0448	8.2809	8.534	8.7467	8.3915
1990 11	07	7.3822	7.5917	7.7802	7.949	8.0996	8.3503	8.6165	8.824	8.4323
1990 11	08	7.3802	7.5889	7.7771	7.9462	8.0974	8.3505	8.6223	8.857	8.4922
1990 11	09	7.3462	7.5411	7.7172	7.8758	8.0179	8.2567	8.5149	8.7485	8.4129
1990 11	13	7.3225	7.4994	7.6598	7.8045	7.9346	8.1543	8.3942	8.6239	8.3251
1990 11	14	7.3218	7.4941	7.6505	7.7919	7.9193	8.135	8.3721	8.6096	8.3293
1990 11	15	7.3195	7.4965	7.6571	7.8022	7.9328	8.1539	8.3964	8.6375	8.3498
1990 11	16	7.2948	7.4641	7.6177	7.7567	7.8818	8.0937	8.3265	8.5585	8.28
1990 11	19	7.3328	7.5038	7.6592	7.7998	7.9264	8.1411	8.3777	8.6184	8.3438
1990 11	20	7.3306	7.497	7.648	7.7844	7.9071	8.1144	8.3411	8.5582	8.271
1990 11	21	7.2903	7.4486	7.5931	7.7244	7.8434	8.0468	8.2752	8.5358	8.3128
1990 11	23	7.2629	7.4306	7.5833	7.7217	7.8467	8.0595	8.2959	8.551	8.2998
1990 11	26	7.2707	7.4364	7.587	7.7233	7.8461	8.0543	8.2837	8.5163	8.2473
1990 11	27	7.2814	7.4491	7.6014	7.7392	7.8632	8.0735	8.3049	8.5376	8.2638
1990 11	28	7.3311	7.4964	7.6462	7.7817	7.9034	8.1093	8.3344	8.5499	8.2639
1990 11	29	7.3639	7.5233	7.6683	7.7996	7.918	8.1189	8.3405	8.5656	8.3023
1990 11	30	7.3225	7.4825	7.6276	7.7586	7.8762	8.0746	8.2907	8.4885	8.1971
1990 12	03	7.3177	7.4656	7.6004	7.7226	7.833	8.021	8.2296	8.4481	8.2071
1990 12	04	7.2807	7.4292	7.5649	7.6885	7.8005	7.9926	8.209	8.4605	8.2527
1990 12	05	7.267	7.413	7.5462	7.6672	7.7768	7.964	8.1735	8.4053	8.1837
1990 12	06	7.2788	7.4248	7.5582	7.6797	7.79	7.9791	8.1927	8.4431	8.241
1990 12	07	7.1595	7.2953	7.4199	7.5337	7.6373	7.8161	8.0203	8.2766	8.1086
1990 12	10	7.1245	7.2593	7.3828	7.4957	7.5984	7.7755	7.9776	8.2287	8.0582
1990 12	11	7.0972	7.2297	7.3512	7.4624	7.5637	7.7387	7.9392	8.1943	8.0345
1990 12	12	7.075	7.2037	7.3221	7.4307	7.5299	7.702	7.9011	8.1678	8.0311
1990 12	13	7.1021	7.2515	7.3875	7.5107	7.6218	7.8108	8.02	8.2361	7.9921
1990 12	14	7.1155	7.2814	7.4314	7.5664	7.6874	7.8905	8.1096	8.2975	7.9861
1990 12	17	7.1078	7.2685	7.4141	7.5455	7.6636	7.8628	8.0799	8.2813	7.9954
1990 12	18	7.0879	7.2433	7.3846	7.5125	7.6278	7.8234	8.0393	8.2585	8.0031
1990 12	19	6.9974	7.1725	7.3313	7.475	7.6044	7.8235	8.0648	8.3116	8.0393
1990 12	20	6.9972	7.189	7.362	7.5173	7.6561	7.8881	8.1366	8.3442	7.9972
1990 12	21	7.0088	7.2229	7.4142	7.5843	7.7346	7.9817	8.2368	8.3972	7.9848
1990 12	24	7.0445	7.2775	7.4845	7.6673	7.8278	8.0886	8.3514	8.4805	8.0178
1990 12	26	7.0397	7.2554	7.4476	7.6181	7.7685	8.0145	8.2662	8.4111	7.9887
1990 12	27	7.0201	7.2302	7.4176	7.5839	7.7308	7.9713	8.2182	8.3633	7.9507
1990 12	28	6.9893	7.2198	7.4245	7.6053	7.764	8.0222	8.2832	8.4234	7.99
1990 12	31	6.9164	7.1467	7.3515	7.5328	7.6923	7.9529	8.2193	8.3848	7.9784
1991 01	02	6.8262	7.0534	7.2554	7.4341	7.5913	7.8477	8.109	8.2656	7.8576
1991 01	03	6.8078	7.0294	7.2265	7.4009	7.5545	7.8054	8.0623	8.2287	7.8504
1991 01	04	6.8896	7.1171	7.3174	7.4929	7.646	7.8929	8.1411	8.3085	8.0038
1991 01	07	6.9236	7.1627	7.3755	7.5641	7.7302	8.0018	8.2797	8.4507	8.0194
1991 01	08	6.8603	7.1245	7.3564	7.5591	7.7355	8.019	8.303	8.4979	8.1687
1991 01	09	6.8413	7.1335	7.3897	7.6131	7.807	8.1172	8.4234	8.5974	8.1836
1991 01	10	6.7993	7.0891	7.3397	7.5556	7.7406	8.0315	8.3118	8.4812	8.1816
1991 01	11	6.773	7.0858	7.3516	7.5768	7.7667	8.0588	8.3316	8.5048	8.2812
1991 01	14	6.7777	7.1104	7.3859	7.614	7.8026	8.0868	8.348	8.5203	8.2549
1991 01	15	6.7529	7.0992	7.3716	7.5913	7.7723	8.0531	8.3372	8.5621	8.1434
