date,country_code,country_name,SLT99_FTOT_TREAS,SLT399_FTOT_TREAS_VALCHG,SLT399_FTOT_TREAS_ESTTRANS,SLT99_FTOT_AGCY,SLT399_FTOT_AGCY_VALCHG,SLT399_FTOT_AGCY_ESTTRANS,SLT99_FTOT_CORP,SLT399_FTOT_CORP_VALCHG,SLT399_FTOT_CORP_ESTTRANS,SLT99_FTOT_STK,SLT399_FTOT_STK_VALCHG,SLT399_FTOT_STK_ESTTRANS,SLT99_US_FOR_BOND,SLT399_US_FOR_BOND_VALCHG,SLT399_US_FOR_BOND_ESTTRANS,SLT99_US_FOR_STK,SLT399_US_FOR_STK_VALCHG,SLT399_US_FOR_STK_ESTTRANS
2012-02,37508,Saint Lucia,6,0,1,2,0,0,39,0,7,49,2,7,20,1,-20,0,0,-2
2012-02,37818,Turks AND Caicos Islands,38,0,2,47,0,2,70,1,2,432,16,28,202,6,-5,0,0,0
2012-02,39942,Total Latin America,325017,-2194,3752,51530,-88,2374,25439,225,49,70595,2797,369,170313,2817,9098,292772,12257,2705
2012-02,40703,Bahrain,516,-4,-52,2056,-5,-605,210,2,-8,671,27,2,270,0,30,15,1,-2
2012-02,41319,Sri Lanka,655,-5,-23,40,0,0,1,0,1,13,1,-1,1275,24,-42,478,28,-50
2012-02,41408,China,1151465,-7889,-3780,233397,-406,7240,19061,165,424,223739,8906,102,2004,1,-157,99706,6074,345
2012-02,42005,Hong Kong,96188,-622,5050,26983,-47,668,12501,114,-373,45849,1780,1152,3282,9,-75,122954,9603,786
2012-02,42102,India,33014,-223,417,4,0,0,53,0,17,1236,49,8,3729,7,29,70675,3191,773
2012-02,42218,Indonesia,21835,-160,-1617,2426,-4,235,245,2,0,298,11,16,12260,114,-130,27706,-376,10
2012-02,42404,Iraq,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02,42501,Israel,5619,-57,-2671,907,-2,-35,3276,27,189,22144,874,196,18049,26,-55,42243,-1055,3028
2012-02,42609,Japan,1025313,-6895,15578,268586,-466,9003,159947,1400,1898,316133,12791,-5063,59304,-2900,3446,428036,20454,-1109
2012-02,43001,Korea,43606,-290,1116,64755,-115,599,10179,91,-116,22906,880,797,29584,103,328,134361,5745,430
2012-02,43109,Kuwait,19188,-124,961,3551,-6,221,8433,78,-339,89556,3412,3885,NA,NA,NA,NA,NA,NA
2012-02,43419,Lebanon,1,0,0,1,0,1,78,1,1,629,25,-3,139,0,-4,136,11,-13
2012-02,43605,Malaysia,20713,-139,427,15895,-28,205,2903,26,-81,5825,207,623,11707,180,-309,22024,851,191
2012-02,44105,Oman,11644,-66,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,275,23,-22
2012-02,44709,Pakistan,1268,-9,0,8,0,0,85,1,-3,67,3,1,220,11,-18,725,43,-20
2012-02,44806,Philippines,36291,-237,1634,28,0,0,394,3,23,1145,47,-34,6108,95,-99,10656,514,-51
2012-02,45101,Qatar,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6433,9,12,719,59,-46
2012-02,45608,Saudi Arabia,74933,-498,2022,4681,-9,-157,7441,65,78,65421,2576,741,NA,NA,NA,NA,NA,NA
